cutoff,assembly_score
0.01528,0.05272
0.0153,0.05273
0.0153,0.05273
0.0153,0.05273
0.0153,0.05274
0.0153,0.05274
0.0153,0.05274
0.01531,0.05275
0.01531,0.05275
0.01533,0.05275
0.01533,0.05275
0.01534,0.05276
0.01535,0.05276
0.01535,0.05276
0.01535,0.05277
0.01536,0.05277
0.01536,0.05277
0.01536,0.05278
0.01538,0.05278
0.01539,0.05278
0.0154,0.05279
0.01542,0.05269
0.01544,0.05269
0.01544,0.05269
0.01546,0.05269
0.01546,0.0527
0.01547,0.0527
0.01547,0.0527
0.01547,0.05271
0.01547,0.05271
0.01547,0.05271
0.01548,0.05272
0.01551,0.05272
0.01551,0.05272
0.01551,0.05272
0.01553,0.05273
0.01554,0.05273
0.01554,0.05273
0.01555,0.05274
0.01555,0.05274
0.01555,0.05274
0.01556,0.05275
0.01556,0.05275
0.01556,0.05275
0.01557,0.05276
0.01558,0.05276
0.01559,0.05276
0.01559,0.05276
0.0156,0.05277
0.0156,0.05277
0.01562,0.05277
0.01562,0.05278
0.01563,0.05278
0.01563,0.05278
0.01563,0.05279
0.01563,0.05279
0.01564,0.05279
0.01565,0.05279
0.01565,0.0528
0.01567,0.0528
0.01567,0.0528
0.01567,0.05281
0.01569,0.05281
0.01569,0.05281
0.0157,0.05282
0.01571,0.05282
0.01571,0.05282
0.01571,0.05282
0.01572,0.05283
0.01572,0.05283
0.01573,0.05283
0.01573,0.05284
0.01575,0.05284
0.01575,0.05284
0.01576,0.05285
0.01576,0.05285
0.01576,0.05285
0.01576,0.05286
0.01577,0.05286
0.01577,0.05286
0.01578,0.05286
0.01578,0.05287
0.01579,0.05287
0.01579,0.05287
0.0158,0.05288
0.0158,0.05288
0.01581,0.05288
0.01581,0.05289
0.01581,0.05289
0.01582,0.05289
0.01583,0.05289
0.01583,0.0529
0.01584,0.0529
0.01584,0.0529
0.01585,0.05291
0.01585,0.05291
0.01586,0.05291
0.01587,0.05292
0.01587,0.05292
0.01587,0.05292
0.01587,0.05292
0.01588,0.05293
0.01592,0.05293
0.01592,0.05293
0.01593,0.05294
0.01594,0.05294
0.01595,0.05294
0.01596,0.05295
